Zeit;Kanal A
(ms);(mV)

-23,50499909;6,52682100
-23,49999909;6,99280200
-23,49499909;7,92630300
-23,48999909;8,85826700
-23,48499909;9,79023100
-23,47999909;9,79023100
-23,47499909;10,25621000
-23,46999909;9,32424900
-23,46499909;8,85826700
-23,45999909;8,85826700
-23,45499909;8,85826700
-23,44999909;7,45878400
-23,44499909;7,45878400
-23,43999909;7,45878400
-23,43499909;7,92630300
-23,42999909;7,45878400
-23,42499909;7,92630300
-23,41999909;8,39228500
-23,41499909;9,32424900
-23,40999909;10,72373000
-23,40499909;11,18971000
-23,39999909;11,18971000
-23,39499909;10,72373000
-23,38999909;11,18971000
-23,38499909;12,12168000
-23,37999909;11,65570000
-23,37499909;11,65570000
-23,36999909;10,72373000
-23,36499909;11,18971000
-23,35999909;10,25621000
-23,35499909;10,72373000
-23,34999909;10,72373000
-23,34499909;10,72373000
-23,33999909;11,18971000
-23,33499909;12,12168000
-23,32999909;13,52116000
-23,32499909;13,98714000
-23,31999909;14,45312000
-23,31499909;15,38509000
-23,30999909;15,85261000
-23,30499909;17,71653000
-23,29999909;18,18405000
-23,29499910;18,65004000
-23,28999910;18,18405000
-23,28499910;16,31859000
-23,27999910;16,31859000
-23,27499910;14,45312000
-23,26999910;14,45312000
-23,26499910;12,58766000
-23,25999910;11,18971000
-23,25499910;9,79023100
-23,24999910;8,39228500
-23,24499910;8,39228500
-23,23999910;6,52682100
-23,23499910;7,45878400
-23,22999910;8,39228500
-23,22499910;9,79023100
-23,21999910;10,25621000
-23,21499910;12,58766000
-23,20999910;13,05518000
-23,20499910;13,52116000
-23,19999910;15,38509000
-23,19499910;15,85261000
-23,18999910;16,31859000
-23,18499910;16,31859000
-23,17999910;14,91911000
-23,17499910;14,91911000
-23,16999910;13,52116000
-23,16499910;13,52116000
-23,15999910;12,58766000
-23,15499910;11,65570000
-23,14999910;10,72373000
-23,14499910;10,25621000
-23,13999910;9,32424900
-23,13499910;7,92630300
-23,12999910;7,92630300
-23,12499910;6,99280200
-23,11999910;6,52682100
-23,11499910;6,99280200
-23,10999910;6,99280200
-23,10499910;6,06083900
-23,09999910;6,06083900
-23,09499910;5,12733700
-23,08999910;5,59485700
-23,08499910;5,59485700
-23,07999910;4,66135500
-23,07499910;4,66135500
-23,06999910;2,79742800
-23,06499910;3,72939200
-23,05999910;2,79742800
-23,05499910;3,26341000
-23,04999910;2,79742800
-23,04499910;3,26341000
-23,03999910;3,26341000
-23,03499910;3,72939200
-23,02999910;4,19537400
-23,02499910;3,72939200
-23,01999910;4,19537400
-23,01499910;4,19537400
-23,00999910;3,72939200
-23,00499910;3,72939200
-22,99999910;2,79742800
-22,99499910;2,32990900
-22,98999910;1,39794500
-22,98499910;0,46598180
-22,97999910;-0,46598180
-22,97499910;-1,86392700
-22,96999910;-3,26341000
-22,96499910;-3,72939200
-22,95999910;-5,12733700
-22,95499910;-4,19537400
-22,94999910;-5,12733700
-22,94499910;-4,19537400
-22,93999910;-4,66135500
-22,93499910;-3,26341000
-22,92999910;-4,66135500
-22,92499910;-3,72939200
-22,91999910;-3,26341000
-22,91499910;-2,79742800
-22,90999910;-1,39794500
-22,90499910;-1,86392700
-22,89999910;-1,86392700
-22,89499911;-1,86392700
-22,88999911;-3,26341000
-22,88499911;-3,26341000
-22,87999911;-5,59485700
-22,87499911;-6,06083900
-22,86999911;-8,39228500
-22,86499911;-9,79023100
-22,85999911;-12,58766000
-22,85499911;-14,45312000
-22,84999911;-15,38509000
-22,84499911;-16,31859000
-22,83999911;-18,18405000
-22,83499911;-18,18405000
-22,82999911;-19,58200000
-22,82499911;-18,18405000
-22,81999911;-17,25055000
-22,81499911;-15,85261000
-22,80999911;-14,45312000
-22,80499911;-13,05518000
-22,79999911;-11,65570000
-22,79499911;-10,72373000
-22,78999911;-8,85826700
-22,78499911;-7,45878400
-22,77999911;-6,52682100
-22,77499911;-5,59485700
-22,76999911;-4,66135500
-22,76499911;-5,59485700
-22,75999911;-6,99280200
-22,75499911;-6,06083900
-22,74999911;-6,06083900
-22,74499911;-6,99280200
-22,73999911;-8,85826700
-22,73499911;-9,79023100
-22,72999911;-12,12168000
-22,72499911;-13,52116000
-22,71999911;-14,45312000
-22,71499911;-14,91911000
-22,70999911;-17,25055000
-22,70499911;-17,71653000
-22,69999911;-18,18405000
-22,69499911;-18,18405000
-22,68999911;-19,11602000
-22,68499911;-18,18405000
-22,67999911;-18,65004000
-22,67499911;-18,65004000
