Zeit;Kanal A
(ms);(mV)

-10.63549941;-9.88435100
-10.63049941;-8.39259300
-10.62549941;-5.78125000
-10.62049942;-5.03506400
-10.61549942;-4.47588600
-10.61049942;-5.40846400
-10.60549942;-4.10248500
-10.60049942;-4.84867100
-10.59549942;-4.66227800
-10.59049942;-5.40846400
-10.58549942;-6.90022100
-10.58049942;-7.27362200
-10.57549942;-7.83279900
-10.57049942;-9.51156400
-10.56549942;-10.44414000
-10.56049942;-11.00332000
-10.55549942;-11.37611000
-10.55049942;-11.93590000
-10.54549942;-11.74951000
-10.54049942;-13.24126000
-10.53549942;-11.93590000
-10.53049942;-11.93590000
-10.52549942;-11.37611000
-10.52049942;-10.63054000
-10.51549942;-10.81693000
-10.51049942;-9.51156400
-10.50549942;-8.39259300
-10.50049942;-8.76537800
-10.49549942;-6.34104300
-10.49049942;-7.46001400
-10.48549942;-5.03506400
-10.48049942;-5.96764200
-10.47549942;-4.66227800
-10.47049942;-4.66227800
-10.46549942;-5.03506400
-10.46049942;-4.66227800
-10.45549942;-2.98351400
-10.45049942;-2.98351400
-10.44549942;-3.54330700
-10.44049942;-2.23794300
-10.43549942;-2.05093500
-10.43049942;-0.93196360
-10.42549942;-0.37278540
-10.42049942;1.67815000
-10.41549942;3.17052100
-10.41049942;2.42433500
-10.40549942;4.10248500
-10.40049942;4.47588600
-10.39549942;4.28949300
-10.39049942;4.84867100
-10.38549942;4.10248500
-10.38049942;4.66227800
-10.37549942;4.28949300
-10.37049942;4.10248500
-10.36549942;4.66227800
-10.36049942;5.59485700
-10.35549942;5.22207200
-10.35049942;6.15403500
-10.34549942;6.15403500
-10.34049942;6.52743600
-10.33549942;7.08661400
-10.33049942;7.46001400
-10.32549942;7.64640700
-10.32049942;9.51156400
-10.31549942;9.32455600
-10.31049942;8.95177200
-10.30549942;8.95177200
-10.30049942;8.39259300
-10.29549942;9.13816400
-10.29049942;8.57898500
-10.28549942;8.20558500
-10.28049942;8.39259300
-10.27549942;7.46001400
-10.27049942;6.15403500
-10.26549942;5.78125000
-10.26049942;4.84867100
-10.25549942;5.03506400
-10.25049942;4.66227800
-10.24549942;4.84867100
-10.24049942;3.35691400
-10.23549942;4.10248500
-10.23049942;3.91609200
-10.22549943;3.91609200
-10.22049943;2.42433500
-10.21549943;3.17052100
-10.21049943;3.35691400
-10.20549943;3.17052100
-10.20049943;1.67815000
-10.19549943;3.35691400
-10.19049943;2.79712100
-10.18549943;3.17052100
-10.18049943;2.79712100
-10.17549943;3.54330700
-10.17049943;3.35691400
-10.16549943;3.35691400
-10.16049943;3.91609200
-10.15549943;4.66227800
-10.15049943;6.15403500
-10.14549943;6.90022100
-10.14049943;7.08661400
-10.13549943;7.83279900
-10.13049943;8.39259300
-10.12549943;9.32455600
-10.12049943;9.88435100
-10.11549943;9.51156400
-10.11049943;8.01919300
-10.10549943;8.76537800
-10.10049943;8.57898500
-10.09549943;6.15403500
-10.09049943;5.22207200
-10.08549943;3.17052100
-10.08049943;1.11897100
-10.07549943;0.93196360
-10.07049943;-1.30536400
-10.06549943;-1.11897100
-10.06049943;-2.42433500
-10.05549943;-2.61072800
-10.05049943;-3.54330700
-10.04549943;-3.35691400
-10.04049943;-2.61072800
-10.03549943;-0.74557080
-10.03049943;-2.05093500
-10.02549943;0.00000000
-10.02049943;0.37278540
-10.01549943;1.30536400
-10.01049943;0.74557080
-10.00549943;0.93196360
-10.00049943;0.93196360
-9.99549943;2.79712100
-9.99049943;1.11897100
-9.98549943;2.05093500
-9.98049943;0.18639270
-9.97549943;2.05093500
-9.97049943;1.49175700
-9.96549943;1.49175700
-9.96049943;-0.37278540
-9.95549943;-0.18639270
-9.95049943;0.93196360
-9.94549943;0.55917820
-9.94049943;1.11897100
-9.93549943;1.11897100
-9.93049943;2.05093500
-9.92549943;1.67815000
-9.92049943;2.61072800
-9.91549943;2.42433500
-9.91049943;1.11897100
-9.90549943;1.86454200
-9.90049943;0.93196360
-9.89549943;0.93196360
-9.89049943;-1.11897100
-9.88549943;-1.67815000
-9.88049943;-3.91609200
-9.87549943;-4.84867100
-9.87049943;-6.34104300
-9.86549943;-7.83279900
-9.86049943;-9.13816400
-9.85549943;-9.13816400
-9.85049943;-9.69795700
-9.84549943;-9.88435100
-9.84049943;-10.25714000
-9.83549943;-9.69795700
-9.83049944;-8.57898500
-9.82549944;-7.83279900
-9.82049944;-6.71382900
-9.81549944;-5.03506400
-9.81049944;-4.66227800
-9.80549944;-3.72970000
-9.80049944;-3.72970000
-9.79549944;-5.03506400
-9.79049944;-4.66227800
-9.78549944;-5.40846400
-9.78049944;-6.90022100
-9.77549944;-7.83279900
-9.77049944;-9.13816400
-9.76549944;-10.07074000
-9.76049944;-10.44414000
-9.75549944;-10.81693000
-9.75049944;-11.37611000
-9.74549944;-11.00332000
-9.74049944;-13.42766000
-9.73549944;-13.24126000
-9.73049944;-11.93590000
-9.72549944;-11.37611000
-9.72049944;-9.88435100
-9.71549944;-10.44414000
-9.71049944;-11.00332000
-9.70549944;-9.88435100
-9.70049944;-8.76537800
-9.69549944;-8.76537800
-9.69049944;-7.46001400
-9.68549944;-6.15403500
-9.68049944;-5.59485700
-9.67549944;-5.40846400
-9.67049944;-6.15403500
-9.66549944;-5.59485700
-9.66049944;-5.96764200
-9.65549944;-4.47588600
-9.65049944;-3.91609200
-9.64549944;-2.79712100
-9.64049944;-2.98351400
-9.63549944;-0.93196360
-9.63049944;0.55917820
-9.62549944;1.11897100
-9.62049944;1.86454200
-9.61549944;3.17052100
-9.61049944;2.79712100
-9.60549944;3.72970000
-9.60049944;4.28949300
-9.59549944;3.91609200
-9.59049944;3.91609200
-9.58549944;3.91609200
-9.58049944;4.28949300
-9.57549944;5.22207200
-9.57049944;3.91609200
-9.56549944;4.84867100
-9.56049944;4.66227800
-9.55549944;3.72970000
-9.55049944;4.66227800
-9.54549944;5.78125000
-9.54049944;7.08661400
-9.53549944;7.08661400
-9.53049944;7.08661400
-9.52549944;6.71382900
-9.52049944;7.08661400
-9.51549944;8.95177200
-9.51049944;9.13816400
-9.50549944;9.51156400
-9.50049944;9.32455600
-9.49549944;8.76537800
-9.49049944;9.13816400
-9.48549944;9.13816400
-9.48049944;8.20558500
-9.47549944;7.64640700
-9.47049944;7.08661400
-9.46549944;6.52743600
-9.46049944;7.46001400
-9.45549944;5.40846400
-9.45049944;5.78125000
-9.44549944;5.96764200
-9.44049944;5.78125000
-9.43549945;4.66227800
-9.43049945;5.03506400
-9.42549945;3.91609200
-9.42049945;3.72970000
-9.41549945;4.28949300
-9.41049945;2.61072800
-9.40549945;3.17052100
-9.40049945;2.98351400
-9.39549945;2.79712100
-9.39049945;2.98351400
-9.38549945;4.28949300
-9.38049945;4.28949300
-9.37549945;2.23794300
-9.37049945;3.72970000
-9.36549945;2.98351400
-9.36049945;3.35691400
-9.35549945;5.22207200
-9.35049945;5.22207200
-9.34549945;7.08661400
-9.34049945;7.83279900
-9.33549945;8.57898500
-9.33049945;8.95177200
-9.32549945;10.07074000
-9.32049945;10.07074000
-9.31549945;10.25714000
-9.31049945;9.88435100
-9.30549945;9.32455600
-9.30049945;7.83279900
-9.29549945;7.08661400
-9.29049945;3.91609200
-9.28549945;4.10248500
-9.28049945;1.67815000
-9.27549945;-0.18639270
-9.27049945;-1.67815000
-9.26549945;-2.98351400
-9.26049945;-4.28949300
-9.25549945;-2.79712100
-9.25049945;-3.35691400
-9.24549945;-3.54330700
-9.24049945;-2.61072800
-9.23549945;-3.54330700
-9.23049945;-1.11897100
-9.22549945;0.37278540
-9.22049945;0.18639270
-9.21549945;0.55917820
-9.21049945;1.30536400
-9.20549945;1.86454200
-9.20049945;3.91609200
-9.19549945;3.17052100
-9.19049945;2.05093500
-9.18549945;1.67815000
